latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1
21.76615,79.80035,344.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese
21.74948,80.11701,312.0,1.9963447,India,Madhya Pradesh,,,,,,,Manganese
21.98279,80.26701,568.0,6.1015906,India,Madhya Pradesh,,,,,,,Manganese
21.79947,80.20867,305.0,1.8543341,India,Madhya Pradesh,,,,,,,Manganese
21.94946,80.25034,604.0,4.860815,India,Madhya Pradesh,,,,,,,Manganese
21.93279,80.35034,586.0,2.725546,India,Madhya Pradesh,Braunite,"Garnet, Quartz, Sericite",,"Quartzite,Phyllite,Schist",,,Manganese
15.08899,74.20881,83.0,4.170527,India,,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese
19.21637,83.21693,626.0,21.312056,India,Orissa,Pyrolusite,"Garnet, Goethite, Quartz, Sillimanite",,"Quartzite,Schist",,,Manganese
21.86614,80.26701,314.0,2.1061206,India,Madhya Pradesh,,,,,,,Manganese
21.74948,80.16701,302.0,1.3626056,India,Madhya Pradesh,,,,,,,Manganese
21.99947,80.29201,571.0,1.999842,India,Madhya Pradesh,,,,,,,Manganese
21.98279,80.36701,623.0,6.7620587,India,Madhya Pradesh,,,,,,,Manganese
15.00844,74.25048,563.0,12.323974,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese
21.96613,80.48366,657.0,11.40926,India,Madhya Pradesh,,,,,,,Manganese
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese
15.22509,74.16715,37.0,4.1710925,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese
23.79167,87.99351,25.0,1.3736681,India,West Bengal,"Manganite, Pyrolusite, Rhodochrosite","Dolomite, Hematite, Jasper",,"Metasedimentary Rock,Shale,Chert",Granite,,Manganese
21.86614,80.35034,612.0,11.164464,India,Madhya Pradesh,,,,,,,Manganese
21.86614,80.35034,612.0,11.164464,India,Madhya Pradesh,,,,,,,Manganese
21.99529,80.13367,326.0,1.0001963,India,Madhya Pradesh,,,,,,,Manganese
15.0501,74.25048,628.0,17.131899,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese
15.16676,74.25048,72.0,4.881671,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese
21.76615,80.04201,300.0,1.8543341,India,Madhya Pradesh,,,,,,,Manganese
26.28248,66.55071,386.0,5.0647736,Pakistan,,Pyrolusite,,,,"Diorite,Pyroxenite,Basalt",Synclinal Depression,Manganese
26.5158,66.40072,318.0,9.938451,Pakistan,,Pyrolusite,,,,,,
26.52413,66.33405,374.0,15.17749,Pakistan,,Pyrolusite,,,,"Diorite,Basalt",,
28.93229,64.50078,849.0,2.1185524,Pakistan,,,Quartz,,,"Diorite,Ultramafic Intrusive Rock,Granite",,
31.34876,69.51734,1508.0,2.171025,Pakistan,,,,,Limestone,,,
29.71556,66.01742,1056.0,2.977689,Pakistan,,,"Epidote, Quartz",,,,,
34.43187,73.50058,1139.0,41.46955,Pakistan,,,,,,,,
26.63245,66.50071,465.0,3.8465345,Pakistan,,Braunite,Calcite,,Diorite,,,Manganese
34.26522,73.31725,1726.0,35.161255,Pakistan,,Pyrolusite,Quartz,,Limestone,,,
33.66527,71.50063,729.0,3.3393657,Pakistan,,,,,Chert,,,
34.29855,73.33391,1941.0,32.58625,Pakistan,,,,,Shale,,,
23.57292,96.18213,300.0,7.595255,Burma,,"Psilomelane, Pyrolusite",,,Limestone,,,Manganese
23.41599,86.91683,141.0,1.3715318,India,West Bengal,,,,,,,
16.99992,80.00034,94.0,1.8543341,India,Andhra Pradesh,,,,,,,
26.99904,100.99978,2867.0,21.749952,China,Sichuan [Szechwan],,,,,,,
41.49819,117.4992,668.0,1.2381489,China,,,,,,,,"Titanium, Metal, Vanadium"
41.49819,117.4992,668.0,1.2381489,China,,,,,,,,"Titanium, Metal, Vanadium"
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
22.88286,79.61656,484.0,4.099506,India,,,,,,,,
21.15384,96.50682,1225.0,2.7177234,Burma,,,,,,,,Copper
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum
